grade,Year,emp_length,acc_open_past_24mths_x,annual_inc_x,bc_util_x,dti_x,inq_last_6mths_x,mo_sin_old_rev_tl_op_x,mo_sin_rcnt_rev_tl_op_x,mo_sin_rcnt_tl_x,mort_acc_x,mths_since_recent_bc_x,num_accts_ever_120_pd_x,num_actv_bc_tl_x,num_il_tl_x,num_bc_sats_x,open_acc_x,pub_rec_bankruptcies_x,pub_rec_x,recoveries_x,tot_cur_bal_x,total_bc_limit_x
C,2014,6 years,4,82000,28.7,2.01,0,89,8,8,1,8,0,4,3,5,9,0,0,0,6268,10200
C,2014,10+ years,3,120000,79.3,19.23,1,159,3,3,6,33,1,2,15,2,18,0,0,0,353987,6000
C,2014,< 1 year,6,43800,98.1,13.62,0,116,7,7,0,10,0,4,16,4,23,0,0,0,195719,6800
A,2014,10+ years,2,64000,80.1,21.47,0,186,15,12,3,15,0,5,8,5,8,0,0,0,185071,32500
C,2014,7 years,3,95000,14.8,6.3,0,86,0,0,3,0,0,4,4,8,10,0,0,0,257340,32900
B,2014,10+ years,4,66000,98.2,11.96,0,206,12,12,2,12,0,5,3,5,9,0,0,0,142001,8700
D,2014,2 years,6,29000,42.4,27.15,0,73,2,2,0,2,1,5,24,7,26,0,0,0,25476,14600
B,2014,3 years,4,115000,79.6,29.25,0,103,22,12,0,24,1,4,23,5,28,0,0,0,253713,9500
C,2014,2 years,4,60000,72.9,27.66,0,93,2,2,0,2,0,1,8,1,9,0,0,0,45519,5000
A,2014,2 years,5,66000,59.3,14.87,0,172,3,3,0,3,0,4,5,4,15,0,0,280.2,42456,18600
A,2014,10+ years,3,60000,20,15.7,0,226,10,9,6,86,0,2,10,3,9,0,0,0,139384,10600
B,2014,9 years,7,75300,83.2,27.59,0,184,7,7,5,10,0,6,9,7,15,0,0,0,389317,24500
B,2014,1 year,3,70000,92.1,29.09,0,203,4,4,3,4,0,4,14,4,16,0,0,0,370648,28500
B,2014,10+ years,3,70000,28.6,11.07,0,392,8,8,3,8,0,3,16,5,9,0,0,0,215386,20100
B,2014,8 years,7,98000,25.3,24.44,1,143,2,2,6,2,0,3,10,4,10,0,0,0,491573,37500
C,2014,2 years,2,50000,89.8,32.65,0,159,23,23,0,23,0,6,10,6,15,0,0,0,60056,44800
E,2014,10+ years,6,25000,65.4,24.92,1,104,3,3,0,11,0,3,2,4,10,0,0,219.12,21743,6400
B,2014,10+ years,6,75000,91.8,9.1,0,122,2,2,3,18,0,2,4,3,9,0,0,0,118297,8100
C,2014,10+ years,3,110000,31.2,8.67,0,124,16,4,3,34,4,3,6,7,13,0,0,0,248509,7300
C,2014,9 years,3,31493,0,21.42,0,83,26,7,2,83,0,0,3,1,5,0,0,0,130049,1900
B,2014,6 years,5,110000,78.2,18.5,0,311,1,1,0,7,0,7,20,8,16,0,0,0,103011,21500
C,2014,4 years,3,240000,97.4,8.09,0,222,2,2,5,2,2,4,7,4,11,1,1,0,373633,18500
A,2014,2 years,6,110000,27,14.23,0,452,10,7,2,10,0,4,17,5,14,1,1,0,370323,40900
C,2014,10+ years,13,57000,90.4,36.72,1,270,4,4,0,14,0,6,6,6,23,1,1,0,34483,24400
E,2014,8 years,6,90000,61,7.69,3,136,3,3,0,3,0,7,5,7,13,1,1,0,15371,8800
A,2014,4 years,2,44500,46.9,18.42,0,111,7,7,1,7,0,1,15,2,13,0,0,0,123735,14100
C,2014,10+ years,6,50000,87.3,8.92,3,86,4,4,4,4,0,3,2,3,10,0,0,0,173674,8600
D,2014,4 years,7,56000,98.1,35.62,3,79,10,1,1,75,2,2,12,2,13,0,0,0,145380,4000
A,2014,10+ years,4,47500,74.4,24.13,0,85,10,10,0,11,0,6,3,7,13,0,0,0,20693,16100
B,2014,3 years,3,51000,26.6,7.98,1,113,2,2,1,2,1,3,4,4,7,0,0,0,58331,11300
C,2014,4 years,5,19200,38.6,27.5,2,91,2,2,2,14,0,1,7,2,10,0,0,0,13967,6600
B,2014,3 years,1,74400,100.2,14.87,0,187,66,15,1,100,0,3,10,3,7,0,0,0,407099,20000
A,2014,8 years,5,75000,49.3,23.6,0,107,10,10,2,18,0,4,14,5,18,0,0,0,168040,13400
C,2014,5 years,6,58800,16.9,8.29,0,161,15,1,0,97,0,1,5,1,3,1,1,0,23409,3300
C,2014,10+ years,4,38000,86.3,23.03,3,260,2,2,1,11,0,2,17,2,13,1,1,0,115524,7100
B,2014,3 years,0,23000,29.2,19.78,0,213,26,26,2,102,0,2,5,2,7,0,0,0,115359,6400
A,2014,7 years,2,36000,33.3,22.48,1,81,5,5,0,66,1,1,6,2,6,0,0,0,27252,2000
E,2014,6 years,9,72000,89.5,19.75,1,81,1,1,1,1,0,6,8,7,13,0,0,0,152323,7100
D,2014,9 years,2,30800,53.6,31.76,1,148,43,5,0,46,0,3,7,3,7,0,0,0,30330,4200
A,2014,10+ years,2,147000,64.6,14.45,1,307,35,3,3,35,0,3,9,3,10,1,1,0,265678,3400
B,2014,5 years,3,60000,70.2,20.46,0,374,4,4,0,4,0,6,1,6,8,0,0,0,49710,38300
C,2014,< 1 year,4,30000,95.9,23.28,0,141,14,12,0,14,1,2,8,2,9,0,0,0,24849,1600
D,2014,< 1 year,7,50000,98.5,22.9,0,35,9,9,0,35,0,1,2,1,13,0,0,0,11693,1000
B,2014,10+ years,3,33000,72,14.69,0,215,8,8,6,15,0,3,19,3,14,0,0,0,280858,11900
C,2014,10+ years,7,29472,96.7,30.7,0,150,6,1,5,6,7,2,22,2,18,0,0,0,164194,4000
B,2014,7 years,2,85000,92.6,30.62,0,185,14,14,2,14,0,5,12,5,12,0,0,0,165835,28600
D,2014,2 years,3,60000,100.1,18.46,0,101,3,3,0,17,0,4,2,4,9,0,0,0,24306,14700
E,2014,10+ years,8,75000,94,32.53,2,243,6,1,0,14,0,3,15,3,11,0,0,0,70326,4600
C,2014,5 years,8,56000,76.7,17.38,0,35,19,10,0,19,0,3,22,3,19,0,0,0,77543,3800
A,2014,< 1 year,9,57000,43.1,18.32,0,42,14,3,0,14,0,6,19,7,18,0,0,0,121803,26400
B,2014,10+ years,3,100000,79.7,7.18,0,89,16,10,0,16,0,5,8,5,7,0,0,0,20341,7400
B,2014,5 years,2,70000,56.5,10.08,0,334,2,2,3,2,0,6,2,7,11,0,0,0,195336,34800
A,2014,10+ years,7,50000,73.3,12.17,0,382,1,1,3,1,1,5,2,5,14,0,0,0,166156,19000
A,2014,8 years,5,75000,28,14.35,1,205,3,3,4,3,0,8,4,10,24,0,0,0,186091,35400
B,2014,3 years,1,60000,85.9,5.38,0,89,4,4,1,4,6,3,5,4,13,0,0,0,342902,7800
D,2014,10+ years,6,72000,94.2,38.15,1,194,2,2,3,2,0,4,20,4,12,0,0,0,239369,14800
B,2014,10+ years,0,50000,97.8,16.03,0,139,26,26,0,26,0,6,3,6,9,0,0,0,15485,8700
B,2014,10+ years,5,35000,53.2,10.49,1,184,2,2,1,2,0,3,9,5,13,0,0,0,10660,17200
C,2014,10+ years,9,66000,89.7,18.56,2,261,9,5,4,9,0,2,10,2,13,1,1,0,198435,4700
E,2014,10+ years,14,130000,98.1,16.84,5,162,3,1,8,3,0,9,13,9,22,0,0,0,423682,26400
A,2014,10+ years,4,47000,67.8,17.26,0,244,15,15,0,15,0,3,9,5,12,1,1,0,29012,11200
C,2014,1 year,5,20800,94.6,24.31,0,93,9,3,0,23,0,2,8,2,8,0,0,0,37286,2000
B,2014,3 years,5,80000,86.6,13.74,0,42,7,7,0,29,0,3,3,3,9,0,0,0,33552,21300
D,2014,6 years,4,115200,68.3,7.15,1,194,3,3,5,18,0,1,2,2,10,0,0,0,297572,15000
D,2014,3 years,5,56000,94,21.9,0,149,6,6,3,17,0,10,4,10,15,0,0,0,138397,14200
A,2014,4 years,2,175000,60.6,8.96,0,169,26,13,5,26,0,3,6,3,9,0,0,0,404306,38900
C,2014,4 years,2,216000,92,9.32,0,159,9,1,0,9,0,2,5,2,7,0,0,0,59951,22000
A,2014,6 years,7,90000,52.3,26.8,0,153,15,4,4,15,0,5,17,6,17,0,0,0,226533,47800
A,2014,9 years,6,104000,48.8,6.32,1,130,6,6,9,6,5,3,8,6,10,0,0,0,294364,37300
A,2014,5 years,1,60000,62.7,18.42,0,151,18,18,0,121,0,2,16,2,15,0,0,0,39160,17800
B,2014,2 years,8,84355,63.9,14.97,2,135,5,5,0,9,0,4,31,4,16,0,0,0,76690,8200
B,2014,2 years,4,50000,86.4,10.63,0,114,3,3,0,6,0,5,2,5,13,0,0,0,10804,11100
C,2014,1 year,9,50000,64.9,34.71,1,118,9,4,0,9,0,3,6,3,9,1,1,0,48209,5800
A,2014,< 1 year,4,71000,40.1,14.72,0,311,5,5,3,17,0,4,6,6,18,0,0,0,183523,19700
E,2014,2 years,10,75000,40.9,33.05,4,131,0,0,0,5,0,9,10,9,41,0,0,0,152670,42700
C,2014,10+ years,3,59000,82,17.53,1,158,3,3,7,3,1,5,7,5,17,0,0,0,185290,17800
F,2014,10+ years,2,79000,97.4,18.71,2,101,33,5,4,73,0,6,8,6,14,0,0,0,120362,12100
C,2014,4 years,2,57000,96.3,15.64,0,120,10,10,4,23,0,5,2,5,10,0,0,0,153880,7200
C,2014,2 years,5,21540,70.2,14.04,3,94,3,3,0,11,0,3,3,3,7,0,0,0,26215,3000
D,2014,4 years,6,74000,97.8,15.81,0,87,7,7,0,54,1,1,14,1,12,0,0,0,129029,500
A,2014,2 years,2,100000,34.9,9.24,0,459,35,1,0,35,0,3,2,7,11,0,0,0,45255,36800
C,2014,2 years,6,120000,91.3,19.6,0,146,7,1,3,11,0,6,6,7,11,1,1,0,73383,17900
A,2014,1 year,8,112700,98.1,18.78,0,130,13,4,0,13,0,7,25,7,24,0,0,0,62574,30400
C,2014,8 years,9,94000,70,16.98,1,302,7,6,3,8,0,8,13,9,20,0,0,293.78,142624,18000
A,2014,7 years,2,175000,94.6,24.01,2,191,12,12,1,12,0,4,17,6,19,0,0,0,417016,80100
C,2014,3 years,4,90000,89.7,10.15,1,226,12,8,1,38,2,2,8,3,13,0,0,0,228680,5000
A,2014,10+ years,5,70000,53.3,12.29,1,221,1,1,1,21,0,4,3,8,14,0,0,0,106529,27600
B,2014,1 year,1,22000,59.5,16.2,0,109,14,14,0,14,1,2,5,2,4,0,0,0,4381,7100
E,2014,1 year,10,175000,39.3,16.77,1,144,0,0,3,0,0,1,17,2,12,1,1,0,284469,7500
D,2014,2 years,7,69000,63.1,18.12,1,88,20,3,5,20,0,2,16,2,11,0,0,0,169002,17600
D,2014,7 years,13,86000,86.5,20.03,1,239,1,1,4,4,0,7,19,8,16,1,1,0,74363,28600
A,2014,4 years,1,110000,94.6,15.73,0,149,35,18,0,35,0,2,3,3,4,0,0,0,56374,44000
C,2014,10+ years,7,68500,88.1,21.76,0,241,1,1,2,18,1,2,11,2,20,0,0,0,194984,7100
C,2014,3 years,5,75000,52.2,2.99,1,96,3,1,1,25,0,2,3,3,7,0,0,0,224068,7500
C,2014,10+ years,3,27435,98,14.04,0,144,19,12,2,36,0,3,8,3,7,0,0,0,129399,5400
A,2014,< 1 year,7,63000,42.3,20.05,0,72,6,6,0,6,0,4,20,5,21,0,0,0,67498,17700
A,2014,9 years,4,123000,88.9,10.2,0,221,1,1,5,42,0,2,10,2,8,0,0,0,200470,9400
C,2014,10+ years,6,30000,38,20.48,4,330,6,6,0,6,0,3,1,3,14,0,1,0,7757,15100
B,2014,2 years,2,50500,87.3,21.99,0,111,8,8,0,16,0,5,8,5,15,0,0,0,32804,11200
A,2014,5 years,9,110000,13.1,16.6,1,137,4,4,3,4,0,4,6,12,16,0,0,0,549117,166800
B,2014,1 year,9,110000,62.2,23.89,0,166,13,12,6,15,1,8,7,9,24,0,0,0,265012,77500
E,2014,7 years,4,43680,99.6,34.7,0,305,12,7,3,47,0,1,20,1,8,0,0,0,143189,5000
C,2014,3 years,1,110000,99.1,12.79,0,91,4,4,0,58,0,2,4,2,9,0,0,0,29581,17800
A,2014,< 1 year,9,30000,25.2,14.92,0,94,10,10,0,10,0,2,16,4,17,0,0,0,47863,12100
A,2014,4 years,0,150000,19.1,6.04,0,109,28,25,0,28,0,2,9,3,9,0,0,0,199285,42900
E,2014,5 years,3,115000,77,13.02,1,118,4,4,2,38,0,4,7,4,11,0,0,0,334543,12700
C,2014,6 years,5,50000,67.4,18.34,2,112,2,2,0,2,0,3,4,5,14,0,0,0,38239,11600
C,2014,2 years,5,35000,60.3,13.51,0,220,10,8,0,10,1,2,28,2,18,0,1,0,64034,4400
B,2014,9 years,7,68500,61,12,2,54,2,2,1,2,0,3,1,4,11,0,0,0,182662,25000
A,2014,10+ years,6,135000,68,15.43,0,153,9,1,3,11,0,9,10,12,25,0,0,0,349443,33600
A,2014,10+ years,0,38000,62.2,20.03,0,295,32,32,1,161,1,2,0,2,8,0,0,0,127682,15900
D,2014,10+ years,3,85000,49.8,11.34,0,140,24,24,0,49,3,6,19,7,26,0,0,0,102914,8800
B,2014,< 1 year,3,10000,39.8,11.88,0,13,10,10,0,10,0,1,5,2,5,0,0,0,39272,2500
E,2014,9 years,5,115000,77,15.84,1,177,10,7,1,14,0,3,10,6,12,0,0,0,238222,19200
B,2014,3 years,1,58000,0,11.32,0,171,40,8,0,40,0,1,4,5,16,0,0,0,25529,16300
C,2014,5 years,6,52000,64.7,16.89,0,116,13,4,2,36,0,4,7,4,10,0,0,0,278982,22200
A,2014,10+ years,5,52000,74,8.54,1,293,1,1,0,2,0,6,4,7,11,0,0,0,12731,12600
C,2014,5 years,1,28000,81.8,29.23,0,67,44,17,0,44,0,3,5,3,6,0,0,0,38414,6100
F,2014,10+ years,11,133000,98,29.89,1,178,3,3,7,3,0,7,26,7,16,0,0,0,487242,30200
A,2014,7 years,1,75000,93.7,20.37,0,170,24,24,1,27,2,4,18,4,14,0,0,0,405377,9100
B,2014,6 years,2,24400,51.1,32.76,0,142,18,18,0,46,1,2,10,4,11,0,0,0,28435,7100
C,2014,10+ years,7,170000,86.4,8.51,2,168,5,3,13,19,5,3,4,4,13,0,0,0,638932,18300
A,2014,1 year,3,45408,49.9,14.24,0,92,7,7,0,22,0,3,6,4,13,0,0,0,25212,15000
E,2014,8 years,1,110000,95.1,17.19,1,189,18,18,0,27,0,8,2,8,20,0,0,0,46286,24300
D,2014,6 years,9,35000,98.7,9.95,0,149,23,8,2,35,0,5,27,5,20,0,0,83.97,97712,5800
C,2014,1 year,13,130000,84.1,21.27,1,108,1,1,7,1,0,4,8,5,20,1,1,0,359365,14900
A,2014,< 1 year,9,90000,13.5,13.17,0,152,11,2,6,11,0,4,20,7,13,0,0,0,222301,24200
C,2014,10+ years,3,54000,66.4,18.08,0,198,11,11,0,11,1,6,5,9,14,0,0,0,43732,18700
D,2014,1 year,8,55000,14.2,13.57,0,205,16,5,0,16,0,1,5,3,19,0,0,0,77072,9100
A,2014,10+ years,1,60000,64.3,10.36,0,100,10,10,1,10,0,3,3,3,6,0,0,0,185062,10000
B,2014,7 years,2,33500,63.4,13.01,0,109,1,1,0,18,0,2,2,4,8,0,0,0,17326,14300
A,2014,5 years,0,36720,40.6,15.38,0,179,25,25,1,25,0,7,2,7,11,0,0,0,135918,38100
C,2014,10+ years,5,72350,97.7,28.73,0,120,12,1,0,76,0,1,13,2,6,1,1,0,81623,2300
A,2014,10+ years,4,55000,11.2,12.63,1,387,3,3,1,11,1,1,3,2,7,1,1,0,16458,13000
A,2014,3 years,2,160000,24.6,10,0,353,13,12,2,13,0,6,7,9,14,0,0,0,515253,74600
C,2014,10+ years,1,95000,66.3,6.76,2,262,1,1,2,1,1,3,2,4,7,0,0,0,37204,6400
C,2014,7 years,6,35000,74,26.03,1,104,7,7,1,11,0,1,5,2,11,0,0,347.5,159431,4000
D,2014,7 years,4,80000,103,26.28,0,98,20,9,1,20,0,2,7,2,12,0,0,0,107718,6000
E,2014,4 years,7,65000,92.9,25.28,0,83,7,4,1,34,0,3,6,3,11,0,0,0,158943,4600
B,2014,3 years,1,36000,59.9,3.6,0,197,13,13,2,13,1,3,5,3,5,1,1,0,1737,2900
A,2014,10+ years,6,48000,11.6,36.86,0,269,8,4,0,8,0,7,6,16,28,0,0,0,48302,143600
A,2014,4 years,4,74000,32.5,8.6,1,237,1,1,14,1,0,8,2,10,17,0,0,0,310755,97700
D,2014,8 years,6,200000,16.4,10.13,1,292,28,1,3,28,0,1,10,1,8,0,1,0,464085,4500
A,2014,7 years,0,78000,18.4,5.7,0,177,33,33,0,33,0,5,3,6,7,0,0,0,19747,107200
B,2014,10+ years,6,110000,92.3,36.69,0,419,8,2,3,22,0,6,21,6,15,0,0,0,370376,74700
B,2014,10+ years,7,82000,49,18.57,1,252,12,9,2,45,0,4,10,4,13,0,0,0,75119,22500
A,2014,10+ years,10,69000,78.8,20.44,2,207,0,0,4,20,0,2,18,2,11,0,0,0,104399,8500
B,2014,10+ years,2,50000,35.4,20.21,0,180,26,15,0,26,0,4,5,4,12,1,3,0,30933,4900
A,2014,3 years,7,99300,40.5,11.95,0,87,6,6,0,6,0,7,2,10,15,0,0,0,33416,50100
C,2014,2 years,4,40000,87.9,6.66,1,241,14,14,4,23,2,2,4,2,6,1,1,0,8424,8200
D,2014,10+ years,8,47000,80.3,15.12,1,171,5,5,1,5,2,3,5,3,8,1,1,0,205884,6300
B,2014,< 1 year,5,105000,89.7,12.82,0,200,10,10,2,10,0,6,13,6,9,0,0,0,376301,30700
A,2014,2 years,3,97000,65.2,15.2,0,331,7,7,3,26,1,3,4,3,12,0,0,0,373265,6500
D,2014,10+ years,6,78000,85.6,18.62,0,117,10,10,2,56,2,4,4,4,12,0,0,0,25724,9100
B,2014,6 years,7,155000,83.4,11.96,2,136,5,5,0,16,0,7,4,8,13,0,0,0,67917,48500
B,2014,9 years,8,55000,76.9,17.07,2,99,1,1,3,4,0,9,10,10,21,1,1,0,179918,19600
C,2014,8 years,5,34000,100.5,11.19,1,111,3,3,0,12,0,2,4,2,7,1,1,0,8221,3500
B,2014,3 years,3,150000,46.7,3.6,0,242,15,12,4,78,1,1,4,3,9,0,0,0,222337,2000
F,2014,2 years,7,40000,37.1,22.53,0,196,16,5,0,16,0,4,16,6,17,0,0,0,24875,25700
B,2014,10+ years,7,38000,91.1,19.33,0,105,6,6,0,80,0,1,7,1,11,1,1,0,11503,4500
A,2014,< 1 year,6,75000,90,19.42,1,109,0,0,1,16,0,2,10,2,14,0,0,0,175158,6500
F,2014,9 years,3,49500,101.4,18.97,3,140,3,3,1,108,0,5,9,5,17,0,0,0,222583,3700
C,2014,6 years,4,35672,10.4,13.12,0,158,11,11,0,22,1,4,7,6,11,0,0,0,28020,27700
B,2014,2 years,4,80000,51.1,20.93,0,224,8,8,0,8,0,11,10,12,18,0,0,0,55183,41400
B,2014,5 years,3,38000,54.3,30.1,0,111,9,8,0,9,0,2,14,2,11,0,0,0,45912,10600
E,2014,7 years,10,55000,78.7,19.55,3,230,3,3,2,3,0,4,18,4,18,1,1,0,62888,12800
A,2014,< 1 year,3,72500,95.7,14.73,0,116,23,18,0,23,0,6,3,6,10,0,0,0,21885,13400
C,2014,6 years,3,140000,68.7,8.06,0,129,21,4,5,34,0,3,7,5,15,0,0,0,275773,20500
A,2014,8 years,4,77000,50.1,16.07,0,194,9,9,5,9,0,9,4,11,19,0,0,0,322646,79500
D,2014,10+ years,6,75000,0,19.68,2,151,6,2,1,18,0,0,7,1,7,0,4,0,159858,500
C,2014,3 years,4,88000,72.7,21.55,0,249,17,10,5,17,0,6,10,7,17,0,0,0,337387,26300
C,2014,8 years,7,41000,78.1,30.8,0,250,16,16,1,21,2,4,9,4,15,1,1,0,125649,6500
B,2014,3 years,1,200000,88,13.83,0,243,10,10,3,29,0,6,11,6,15,0,0,0,398409,40100
E,2014,10+ years,3,45560,98.2,20.27,1,284,28,13,3,28,0,4,7,4,10,0,0,0,507090,31000
